file_path,duration_sec,sample_rate,channels,sample_width_bytes,frame_count,peak_amplitude,rms_amplitude,crest_factor,silence_ratio,clipping_ratio,zero_crossing_rate,source_path,resolved_path
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0001.wav,14.0584375,16000,1,2,224935,0.970611572265625,0.15928193926811218,6.093669983712578,0.44590659523862447,0.0,0.07712039976170788,../raw_data/wavs/voice-0001.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0001.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0002.wav,13.1976875,16000,1,2,211163,0.999969482421875,0.15710167586803436,6.365110218568584,0.3705620776367072,2.3678390627145853e-05,0.07356437237760582,../raw_data/wavs/voice-0002.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0002.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0003.wav,13.44075,16000,1,2,215052,1.0,0.1637255847454071,6.107780903974157,0.4330720011904098,3.7200305042501346e-05,0.07528911746515943,../raw_data/wavs/voice-0003.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0003.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0004.wav,10.6934375,16000,1,2,171095,0.9969482421875,0.1871221661567688,5.327793401837109,0.3835705309915544,5.844706157397936e-06,0.08874653699136148,../raw_data/wavs/voice-0004.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0004.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0005.wav,16.2454375,16000,1,2,259927,0.99627685546875,0.17662101984024048,5.64076040535784,0.3620824308363502,1.538893612437338e-05,0.08043443133815009,../raw_data/wavs/voice-0005.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0005.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0006.wav,18.7398125,16000,1,2,299837,0.999969482421875,0.16791188716888428,5.955322754583269,0.42009158309348077,1.6675727145082162e-05,0.09580237196333996,../raw_data/wavs/voice-0006.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0006.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0007.wav,12.1724375,16000,1,2,194759,0.99993896484375,0.16076810657978058,6.219759541346181,0.4633880847611664,5.1345509065049624e-06,0.08371414781421045,../raw_data/wavs/voice-0007.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0007.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0008.wav,13.2375,16000,1,2,211800,1.0,0.16097496449947357,6.21214611296448,0.37109065155807364,1.8885741265344665e-05,0.06978314345204652,../raw_data/wavs/voice-0008.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0008.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0009.wav,11.7576875,16000,1,2,188123,0.961090087890625,0.1754978448152542,5.4763640482443545,0.33866140769602865,0.0,0.08531697515442106,../raw_data/wavs/voice-0009.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0009.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0010.wav,13.7215625,16000,1,2,219545,0.990081787109375,0.1883707493543625,5.256027225579679,0.35117629643125553,9.109749709626728e-06,0.07428579236963889,../raw_data/wavs/voice-0010.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0010.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0011.wav,11.2,16000,1,2,179200,0.99993896484375,0.19046089053153992,5.250101278289268,0.39804129464285715,1.674107142857143e-05,0.08548596811366135,../raw_data/wavs/voice-0011.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0011.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0012.wav,23.402125,16000,1,2,374434,1.0,0.17209291458129883,5.81081448026489,0.39442732230513255,1.335348819818713e-05,0.08199063650906838,../raw_data/wavs/voice-0012.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0012.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0013.wav,11.3995,16000,1,2,182392,0.9849853515625,0.176327183842659,5.586123081517743,0.3557776656870915,5.482696609500417e-06,0.07709261970163002,../raw_data/wavs/voice-0013.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0013.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0014.wav,10.1026875,16000,1,2,161643,0.970977783203125,0.1628303974866867,5.96312358251483,0.3516143600403358,0.0,0.08380866358990856,../raw_data/wavs/voice-0014.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0014.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0015.wav,11.882,16000,1,2,190112,0.972900390625,0.17855362594127655,5.448785402683289,0.3976024659148292,0.0,0.07274171405126478,../raw_data/wavs/voice-0015.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0015.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0016.wav,10.2918125,16000,1,2,164669,0.997528076171875,0.1844509243965149,5.408094751683027,0.36462843643915976,6.072788442269037e-06,0.091359584132922,../raw_data/wavs/voice-0016.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0016.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0017.wav,7.4470625,16000,1,2,119153,0.961639404296875,0.18009988963603973,5.33947803210892,0.3483084773358623,0.0,0.09013696790653955,../raw_data/wavs/voice-0017.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0017.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0018.wav,14.93,16000,1,2,238880,0.979461669921875,0.17336006462574005,5.649869086265022,0.3429211319490958,0.0,0.08426441838755186,../raw_data/wavs/voice-0018.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0018.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0019.wav,9.85,16000,1,2,157600,1.0,0.19998522102832794,5.00036950159607,0.3527855329949239,1.2690355329949238e-05,0.0775639439336544,../raw_data/wavs/voice-0019.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0019.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0020.wav,11.21,16000,1,2,179360,0.976593017578125,0.17450812458992004,5.596261032963591,0.32750892060660125,0.0,0.08659169598403202,../raw_data/wavs/voice-0020.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0020.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0021.wav,6.85,16000,1,2,109600,0.996612548828125,0.19189557433128357,5.193515026602952,0.3315602189781022,1.8248175182481753e-05,0.08596793766366481,../raw_data/wavs/voice-0021.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0021.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0022.wav,15.41,16000,1,2,246560,0.999969482421875,0.1723722517490387,5.801220743334936,0.394265087605451,1.216742375081116e-05,0.07695926735588642,../raw_data/wavs/voice-0022.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0022.wav
